epoch,accuracy,loss,sudoku_win_rate,val_sudoku_win_rate/easy,val_sudoku_win_rate/extreme,val_sudoku_win_rate/hard,val_sudoku_win_rate/insane,val_sudoku_win_rate/medium
0,0.8573118448257446,0.40071502327919006,0.06395273655653,0.81944,0.002413793,0.02284,0.00014,0.14801869
1,0.9650838375091553,0.09372726827859879,0.32844725251197815,0.98576,0.25172412,0.50912,0.127,0.7591215
2,0.9896255135536194,0.02935272455215454,0.6372561454772949,0.9988,0.59172416,0.806,0.431,0.9384486
3,0.9958885312080383,0.012011697515845299,0.8104616403579712,0.99984,0.7858276,0.91924,0.66584,0.98087853
4,0.9981591701507568,0.005474604666233063,0.9000109434127808,0.99976,0.8747931,0.95888,0.78742,0.9915701
5,0.9990202188491821,0.0029176604002714157,0.9412918090820312,0.99992,0.91227585,0.972,0.84694,0.9957196
6,0.9993848204612732,0.0018215476302430034,0.9609520435333252,0.99992,0.9246552,0.97684,0.86586,0.99562615
7,0.9995573163032532,0.0012991243274882436,0.9708952307701111,1.0,0.9474138,0.98592,0.90404,0.9975514
8,0.9996644854545593,0.000992262619547546,0.9773486256599426,1.0,0.9573793,0.98868,0.92396,0.99807477
9,0.9997347593307495,0.0007992478203959763,0.9819794297218323,1.0,0.9669655,0.99076,0.93572,0.99882245
10,0.9997865557670593,0.0006501077441498637,0.985226035118103,1.0,0.96189654,0.989,0.92576,0.9985421
11,0.9998165369033813,0.0005703262868337333,0.9872664213180542,1.0,0.9750345,0.99304,0.9498,0.9992523
12,0.999845564365387,0.00048611804959364235,0.9892582297325134,1.0,0.97331035,0.9932,0.95182,0.999028
13,0.999860942363739,0.000442908814875409,0.9902828931808472,1.0,0.9771379,0.99424,0.95638,0.9991402
14,0.9998823404312134,0.0003869887732435018,0.9916602969169617,0.99996,0.9817931,0.99576,0.96276,0.9992897
15,0.9998853206634521,0.0003872181405313313,0.9919897317886353,1.0,0.97913796,0.99576,0.95816,0.99923366
16,0.9999022483825684,0.00033269147388637066,0.9930931329727173,1.0,0.9835172,0.99544,0.96656,0.9994953
17,0.9999100565910339,0.0003112743142992258,0.9936246871948242,0.99996,0.9797586,0.99548,0.95878,0.9994766
18,0.9999164938926697,0.00029905326664447784,0.9940390586853027,1.0,0.9845862,0.9966,0.96794,0.99943924
19,0.9999186992645264,0.00028778158593922853,0.9942746758460999,1.0,0.9840345,0.99616,0.96742,0.9997196
20,0.9999303221702576,0.0002640817838255316,0.9949657320976257,1.0,0.9856207,0.99672,0.97304,0.99938315
21,0.9999340176582336,0.0002507261815480888,0.9952630400657654,1.0,0.98648274,0.99624,0.97116,0.9994206
22,0.9999311566352844,0.0002632562827784568,0.9951089024543762,1.0,0.9858965,0.9966,0.97008,0.9997196
23,0.9999409317970276,0.00023714490816928446,0.9956856369972229,1.0,0.9888276,0.99688,0.97392,0.9995327
24,0.9999435544013977,0.00023266674543265253,0.9957630038261414,1.0,0.9884828,0.99724,0.97632,0.99968225
25,0.9999439716339111,0.00022799290309194475,0.9959376454353333,1.0,0.99037933,0.99724,0.97824,0.99979436
26,0.9999515414237976,0.00020824151579290628,0.9963870048522949,1.0,0.99,0.9972,0.97716,0.9997757
27,0.9999523162841797,0.00020898360526189208,0.9963369965553284,1.0,0.9888621,0.9974,0.97766,0.99979436
28,0.9999552965164185,0.00019874580902978778,0.9965451955795288,1.0,0.99172413,0.99792,0.9815,0.9997196
29,0.9999544024467468,0.00021854881197214127,0.996429443359375,0.99996,0.9892759,0.998,0.97712,0.9997757
30,0.9999622702598572,0.0001896508620120585,0.9968773722648621,1.0,0.9916552,0.9978,0.9789,0.99973834
31,0.9999604225158691,0.00019649957539513707,0.9968705773353577,1.0,0.9911379,0.998,0.98022,0.99968225
32,0.9999630451202393,0.00019386847270652652,0.996982216835022,0.99996,0.9895517,0.99804,0.97676,0.9997196
33,0.9999635815620422,0.0001986943098017946,0.9970821738243103,1.0,0.9901724,0.99768,0.98048,0.99986917
34,0.999968409538269,0.00017252085672225803,0.9973177909851074,1.0,0.99196553,0.99844,0.98192,0.99973834
35,0.9999690651893616,0.00018118145817425102,0.997299313545227,1.0,0.9906207,0.9976,0.97978,0.99970096
36,0.9999698400497437,0.00018148506933357567,0.9973267316818237,1.0,0.99148273,0.99804,0.9833,0.9997757
37,0.9999683499336243,0.00018910292419604957,0.9972897171974182,1.0,0.9916552,0.9984,0.98334,0.9997196
38,0.999973475933075,0.00016795140982139856,0.9976212382316589,0.99996,0.99131036,0.99796,0.98152,0.999757
39,0.999972939491272,0.00017912303155753762,0.997536301612854,1.0,0.99189657,0.99832,0.98332,0.99973834
40,0.9999745488166809,0.00016969640273600817,0.9976794719696045,1.0,0.9922414,0.998,0.9823,0.9997757
41,0.9999732375144958,0.00017505045980215073,0.9976356029510498,0.99988,0.9893793,0.99696,0.98016,0.99968225
42,0.9999755620956421,0.00017708369705360383,0.9976609349250793,1.0,0.9916207,0.99764,0.981,0.9995514
43,0.9999746084213257,0.00017702821060083807,0.9977102875709534,0.99996,0.99313796,0.99828,0.98392,0.99968225
44,0.99997878074646,0.00016233103815466166,0.997917115688324,1.0,0.99251723,0.99828,0.98328,0.99966353
45,0.9999794363975525,0.00016401837638113648,0.9978910684585571,0.99996,0.9921379,0.99816,0.98396,0.99973834
46,0.9999794960021973,0.0001636950473766774,0.9979520440101624,1.0,0.98865515,0.99752,0.97836,0.9995888
47,0.9999797344207764,0.00016970573051366955,0.9979369640350342,1.0,0.993,0.99888,0.9841,0.99990654
48,0.999980092048645,0.00016993744065985084,0.9979568719863892,1.0,0.9937586,0.99864,0.9866,0.9998318
49,0.9999823570251465,0.00015019986312836409,0.9981890320777893,1.0,0.99355173,0.99876,0.98522,0.9998318
50,0.9999832510948181,0.00016030276310630143,0.998102068901062,1.0,0.9936207,0.99844,0.98518,0.9998878
51,0.999981164932251,0.0001736959529807791,0.9980595707893372,0.99996,0.9938621,0.99884,0.98692,0.99986917
52,0.9999838471412659,0.00015578384045511484,0.9982342720031738,1.0,0.9932759,0.99856,0.98556,0.9998318
53,0.9999839067459106,0.00016444434004370123,0.998224675655365,1.0,0.99448276,0.99868,0.98548,0.999757
54,0.9999843835830688,0.0001584118726896122,0.9982794523239136,0.99996,0.99310344,0.9986,0.98516,0.9998131
55,0.9999844431877136,0.00016160192899405956,0.9982897043228149,1.0,0.99344826,0.99876,0.98558,0.9998131
56,0.9999852776527405,0.00015603963402099907,0.998347282409668,1.0,0.99310344,0.99872,0.98486,0.999757
57,0.9999840259552002,0.0001701128639979288,0.9982404112815857,1.0,0.9941724,0.99916,0.98768,0.99979436
58,0.9999868869781494,0.00014676040154881775,0.9984740018844604,1.0,0.99379313,0.9986,0.98474,0.99986917
59,0.9999855756759644,0.00017247378127649426,0.9983287453651428,1.0,0.99451727,0.99872,0.98782,0.9998318
60,0.9999868869781494,0.00015833089128136635,0.9984328746795654,1.0,0.994,0.99848,0.98606,0.99992526
61,0.9999866485595703,0.00017190117796417326,0.9983986020088196,1.0,0.99403447,0.99848,0.98732,0.9998878
62,0.99998939037323,0.0001372272236039862,0.998643159866333,0.99992,0.994069,0.99868,0.98706,0.99990654
63,0.9999869465827942,0.00016218816745094955,0.9985198378562927,1.0,0.99344826,0.99876,0.98616,0.9998131
64,0.9999879002571106,0.00015861596330069005,0.9985219240188599,1.0,0.9949655,0.99872,0.9881,0.9999439
65,0.9999880194664001,0.00015202537178993225,0.9986376762390137,1.0,0.9954138,0.99888,0.98732,0.99990654
66,0.9999884963035583,0.00016309236525557935,0.9985623359680176,1.0,0.9952069,0.999,0.9883,0.9998318
67,0.9999880790710449,0.00016012440028134733,0.9985965490341187,1.0,0.9944138,0.9984,0.98788,0.99990654
68,0.9999879002571106,0.00016595427587162703,0.9985992908477783,1.0,0.995,0.99892,0.98848,0.99979436
69,0.9999914765357971,0.00013837470032740384,0.9987595677375793,1.0,0.9948621,0.999,0.98858,0.99986917
70,0.9999890327453613,0.00015580354374833405,0.9986630082130432,0.99996,0.9937586,0.99896,0.98678,0.999757
