,avg_episodic_return,avg_episodic_length,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,run
1024,-0.9938775300979614,1.0448979139328003,0.0002500000118743628,0.4431638717651367,-0.032817356288433075,4.100035667419434,0.0024604834616184235,0.0013775171246379614,0.0126953125,-3.1697826385498047,379.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
2048,-1.0,1.0534979104995728,0.0002499744005035609,0.11473061144351959,-0.027594201266765594,4.086544990539551,0.006868274882435799,0.001103636808693409,0.0048828125,-1178.7244873046875,551.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
3072,-1.0,1.0601036548614502,0.000249948789132759,0.060795530676841736,-0.02983568236231804,4.095054626464844,0.0020795809105038643,0.0017207860946655273,0.02099609375,-143.6215057373047,654.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
4096,-1.0,1.0395939350128174,0.0002499232068657875,0.025657182559370995,-0.024139780551195145,4.072077751159668,0.00385146401822567,0.0014218466822057962,0.009765625,-851.7291259765625,719.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
5120,-0.997931718826294,1.0599793195724487,0.0002498975954949856,0.02085825428366661,-0.023339655250310898,4.093332290649414,0.0032294681295752525,0.001452235272154212,0.0107421875,-2.641331195831299,765.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
6144,-1.0,1.0385786294937134,0.00024987198412418365,0.007115472108125687,-0.02930920012295246,4.109243392944336,0.0019229156896471977,0.00237367395311594,0.033203125,-93.66307067871094,799.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
7168,-1.0,1.0523613691329956,0.0002498464018572122,0.004301590844988823,-0.0337504968047142,4.089413642883301,-0.0026316726580262184,0.002712320303544402,0.04638671875,-1116.9163818359375,823.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
8192,-1.0,1.0354609489440918,0.00024982079048641026,0.0029449884314090014,-0.0357990562915802,4.103324890136719,0.002192770130932331,0.0027209969703108072,0.04931640625,-1138.3939208984375,837.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
9216,-1.0,1.0523613691329956,0.00024979517911560833,0.0025832108221948147,-0.040437377989292145,4.085080623626709,0.0029206033796072006,0.003087668213993311,0.05224609375,-1032.480712890625,852.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
10240,-0.9979338645935059,1.0578511953353882,0.00024976959684863687,0.0020213350653648376,-0.029556144028902054,4.110243320465088,0.0008619092404842377,0.0018841084092855453,0.0234375,-0.3494502305984497,866.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
11264,-1.0,1.0491299629211426,0.00024974398547783494,0.0014079094398766756,-0.035148728638887405,4.075012683868408,0.0022887447848916054,0.002232189988717437,0.033447265625,-711.98828125,878.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
12288,-0.9979296326637268,1.0590062141418457,0.000249718374107033,0.00784741435199976,-0.015932191163301468,4.084932327270508,0.006040462292730808,0.0021460747811943293,0.04345703125,-0.3860452175140381,881.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
13312,-1.0,1.0545268058776855,0.00024969279184006155,0.0012076976709067822,-0.03976934775710106,4.09354305267334,0.0011542318388819695,0.0032716747373342514,0.061767578125,-422.5103454589844,886.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
14336,-1.0,1.0534979104995728,0.0002496671804692596,0.0010554108303040266,-0.03890176862478256,4.114716529846191,0.0022554798051714897,0.0025398412253707647,0.034423828125,-615.3659057617188,894.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
15360,-0.9979274868965149,1.0611399412155151,0.0002496415690984577,0.007243128959089518,-0.017544975504279137,4.072965145111084,0.0023283539339900017,0.0018730987794697285,0.017333984375,-0.23460602760314941,902.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
16384,-0.9979550242424011,1.046012282371521,0.0002496159868314862,0.007975203916430473,-0.01572505757212639,4.077124118804932,-0.0011204550974071026,0.0017551826313138008,0.02001953125,-0.23038184642791748,908.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
17408,-1.0,1.055670142173767,0.0002495903754606843,0.0008884266135282815,-0.041251908987760544,4.080325126647949,0.0012904498726129532,0.0030881573911756277,0.046630859375,-200.69793701171875,910.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
18432,-1.0,1.0578511953353882,0.0002495647640898824,0.0006203114171512425,-0.03796691074967384,4.068751335144043,0.001631319522857666,0.002067914232611656,0.03564453125,-260.3532409667969,907.0,Sudoku-v0__ML_OneHot_MLP_v0__1__1693136306
