,avg_episodic_return,avg_episodic_length,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,run
1024,-0.791015625,1.0,0.0002500000118743628,0.4729551672935486,-0.05791514739394188,2.1964521408081055,0.029100127518177032,0.004078034311532974,0.08740234375,-0.27021121978759766,745.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
2048,-0.759765625,1.0,0.00024987198412418365,0.4033955931663513,-0.05204539746046066,2.1955244541168213,0.013032225891947746,0.0030417218804359436,0.040771484375,-0.22211194038391113,859.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
3072,-0.765625,1.0,0.00024974398547783494,0.3379930555820465,-0.054146550595760345,2.193897247314453,0.00848481897264719,0.003793356940150261,0.0615234375,-0.17239201068878174,875.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
4096,-0.787109375,1.0,0.0002496159868314862,0.2669146656990051,-0.04944076016545296,2.1920130252838135,0.01934131421148777,0.00397565308958292,0.068603515625,-0.18326795101165771,843.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
5120,-0.75390625,1.0,0.00024948795908130705,0.22848829627037048,-0.04494195058941841,2.1882455348968506,0.021843859925866127,0.004570538178086281,0.092529296875,-0.15748870372772217,849.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
6144,-0.80078125,1.0,0.00024935996043495834,0.18434564769268036,-0.04358337074518204,2.1844632625579834,0.02341555804014206,0.004556427709758282,0.083984375,-0.1297142505645752,815.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
7168,-0.75,1.0,0.0002492319617886096,0.2065030038356781,-0.04774648696184158,2.180549383163452,0.022137749940156937,0.0055162603966891766,0.10400390625,-0.04571938514709473,818.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
8192,-0.759765625,1.0,0.00024910393403843045,0.19344991445541382,-0.04546035826206207,2.1734743118286133,0.019407570362091064,0.006125982850790024,0.127685546875,-0.06576251983642578,831.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
9216,-0.78515625,1.0,0.00024897593539208174,0.1910739243030548,-0.04769211262464523,2.170595645904541,0.03046945109963417,0.006409386172890663,0.114013671875,-0.05177962779998779,837.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
10240,-0.771484375,1.0,0.000248847936745733,0.1856391280889511,-0.04421085864305496,2.1667819023132324,0.0214516744017601,0.00580198410898447,0.1083984375,-0.05557441711425781,844.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
11264,-0.783203125,1.0,0.00024871990899555385,0.2052360326051712,-0.04944068193435669,2.162405014038086,0.015184753574430943,0.006852783262729645,0.11572265625,-0.03665566444396973,851.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
12288,-0.779296875,1.0,0.00024859191034920514,0.23730379343032837,-0.051553502678871155,2.1536006927490234,0.012307653203606606,0.007571876049041748,0.111572265625,-0.07095277309417725,855.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
13312,-0.744140625,1.0,0.0002484639117028564,0.2132701277732849,-0.05077512562274933,2.1522223949432373,0.023831188678741455,0.0070387269370257854,0.111572265625,-0.03194117546081543,861.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
14336,-0.802734375,1.0,0.00024833588395267725,0.179019957780838,-0.04341525211930275,2.153675079345703,0.015869170427322388,0.006735421717166901,0.097900390625,-0.08748006820678711,865.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
15360,-0.81640625,1.0,0.00024820788530632854,0.1739315390586853,-0.042397767305374146,2.1503610610961914,0.011599265038967133,0.005835802294313908,0.093017578125,-0.04713737964630127,864.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
16384,-0.76171875,1.0,0.0002480798866599798,0.20759771764278412,-0.04676389694213867,2.1430983543395996,0.021601228043437004,0.0061830785125494,0.115478515625,-0.0388028621673584,868.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
17408,-0.76953125,1.0,0.00024795185890980065,0.25304991006851196,-0.05117353796958923,2.1351118087768555,0.00964239053428173,0.008708788082003593,0.13525390625,-0.036058783531188965,870.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
18432,-0.755859375,1.0,0.00024782386026345193,0.20353645086288452,-0.046065084636211395,2.1276047229766846,0.01763322204351425,0.006713097915053368,0.113037109375,-0.04477417469024658,875.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
19456,-0.751953125,1.0,0.0002476958616171032,0.2569615840911865,-0.04769234359264374,2.124051094055176,0.005450271535664797,0.007672157138586044,0.1376953125,-0.029301166534423828,878.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
20480,-0.794921875,1.0,0.00024756783386692405,0.1675262451171875,-0.04389218986034393,2.1235225200653076,0.024946030229330063,0.005878165364265442,0.11962890625,-0.011833667755126953,880.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
21504,-0.796875,1.0,0.00024743983522057533,0.20113950967788696,-0.043835658580064774,2.1154229640960693,0.006075114011764526,0.007257462479174137,0.115478515625,-0.05794167518615723,881.0,Sudoku-v0__SA_OneHot_MLP_v0__1__1693136383
