,avg_episodic_return,avg_episodic_length,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,run
1024,-0.997804582118988,1.1218441724777222,0.0002500000118743628,0.4710264205932617,-0.07454168796539307,3.232834815979004,0.005778590217232704,0.0051199602894485,0.0986328125,-7.027959823608398,860.0,Sudoku-v0__SingleActionTest__1__1693059453
2048,-0.9957127571105957,1.0986065864562988,0.00024987198412418365,0.07786539942026138,-0.06084265932440758,3.2505478858947754,0.005878604017198086,0.003482975997030735,0.05078125,-4.00033712387085,1002.0,Sudoku-v0__SingleActionTest__1__1693059453
3072,-0.995604395866394,1.1263736486434937,0.00024974398547783494,0.03057599440217018,-0.06300806999206543,3.2318270206451416,-0.0007857177406549454,0.00394185446202755,0.070068359375,-2.3664956092834473,1005.0,Sudoku-v0__SingleActionTest__1__1693059453
4096,-0.9977973699569702,1.1266520023345947,0.0002496159868314862,0.020357374101877213,-0.05802205204963684,3.245546340942383,0.0013315128162503242,0.00391862727701664,0.067626953125,-3.5375609397888184,1026.0,Sudoku-v0__SingleActionTest__1__1693059453
5120,-0.9955506324768066,1.1401556730270386,0.00024948795908130705,0.020202044397592545,-0.04628840833902359,3.2199409008026123,0.002295623067766428,0.003946117125451565,0.064697265625,-1.211860179901123,1046.0,Sudoku-v0__SingleActionTest__1__1693059453
6144,-1.0,1.1328903436660767,0.00024935996043495834,0.003981984686106443,-0.06584136188030243,3.2415008544921875,0.005667421035468578,0.005097492597997189,0.097412109375,-539.7362060546875,1058.0,Sudoku-v0__SingleActionTest__1__1693059453
7168,-1.0,1.1300991773605347,0.0002492319617886096,0.0026540725957602262,-0.06661141663789749,3.233330249786377,-0.006281317677348852,0.006226551719009876,0.1201171875,-582.2728881835938,1039.0,Sudoku-v0__SingleActionTest__1__1693059453
8192,-0.9977997541427612,1.1254125833511353,0.00024910393403843045,0.002226205077022314,-0.06128501147031784,3.218740463256836,0.007453026250004768,0.0047419872134923935,0.076171875,-0.5870876312255859,1037.0,Sudoku-v0__SingleActionTest__1__1693059453
9216,-0.9977527856826782,1.150561809539795,0.00024897593539208174,0.008460251614451408,-0.03668588399887085,3.220235824584961,0.005059007089585066,0.004442782141268253,0.07470703125,-0.4802795648574829,1051.0,Sudoku-v0__SingleActionTest__1__1693059453
10240,-0.9933110475540161,1.1415830850601196,0.000248847936745733,0.015254361554980278,-0.02361276000738144,3.202575922012329,0.01553298719227314,0.002922083018347621,0.038818359375,-0.22171270847320557,1056.0,Sudoku-v0__SingleActionTest__1__1693059453
11264,-0.9978213310241699,1.1165577173233032,0.00024871990899555385,0.008039912208914757,-0.03434315323829651,3.2175331115722656,0.00785004161298275,0.0050714509561657906,0.087890625,-0.430128812789917,1058.0,Sudoku-v0__SingleActionTest__1__1693059453
12288,-0.9955005645751953,1.1518560647964478,0.00024859191034920514,0.0012306758435443044,-0.04761738330125809,3.2059059143066406,0.012400530278682709,0.003146961098536849,0.05712890625,-0.1401118040084839,1058.0,Sudoku-v0__SingleActionTest__1__1693059453
13312,-0.995604395866394,1.1252747774124146,0.0002484639117028564,0.007933223620057106,-0.025842584669589996,3.210815906524658,0.01564794033765793,0.004422515630722046,0.07421875,-0.13022291660308838,1066.0,Sudoku-v0__SingleActionTest__1__1693059453
14336,-0.9977973699569702,1.1277532577514648,0.00024833588395267725,0.006561780348420143,-0.027505898848176003,3.2036359310150146,-0.004220270086079836,0.004677724093198776,0.0927734375,-0.15669775009155273,1070.0,Sudoku-v0__SingleActionTest__1__1693059453
15360,-0.9956284165382385,1.1180328130722046,0.00024820788530632854,0.007527701556682587,-0.028206558898091316,3.2045838832855225,0.010226717218756676,0.004413223825395107,0.0751953125,-0.12926137447357178,1076.0,Sudoku-v0__SingleActionTest__1__1693059453
16384,-0.9978070259094238,1.123903512954712,0.0002480798866599798,0.0009461344452574849,-0.05370742827653885,3.198157787322998,0.008558453060686588,0.0044327182695269585,0.090576171875,-0.36121058464050293,1083.0,Sudoku-v0__SingleActionTest__1__1693059453
17408,-0.997802197933197,1.1208791732788086,0.00024795185890980065,0.020133618265390396,-0.023664850741624832,3.194901466369629,0.008465936407446861,0.006161997094750404,0.1025390625,-0.2719329595565796,1081.0,Sudoku-v0__SingleActionTest__1__1693059453
18432,-0.9956616163253784,1.1149674654006958,0.00024782386026345193,0.015626149252057076,-0.02114320546388626,3.212031126022339,-0.0019465330988168716,0.005042395554482937,0.073974609375,-0.1692901849746704,1081.0,Sudoku-v0__SingleActionTest__1__1693059453
19456,-1.0,1.0998926162719727,0.0002476958616171032,0.0007523263921029866,-0.06872264295816422,3.1980953216552734,0.004290200769901276,0.009306218475103378,0.20361328125,-207.0130157470703,1083.0,Sudoku-v0__SingleActionTest__1__1693059453
20480,-1.0,1.1168122291564941,0.00024756783386692405,0.0007668993785046041,-0.06462204456329346,3.21301007270813,0.000741986557841301,0.009718772023916245,0.182861328125,-138.99118041992188,1089.0,Sudoku-v0__SingleActionTest__1__1693059453
21504,-1.0,1.1276127099990845,0.00024743983522057533,0.0008547927718609571,-0.06481719017028809,3.2013461589813232,0.013819153420627117,0.008982145227491856,0.179931640625,-149.82791137695312,1092.0,Sudoku-v0__SingleActionTest__1__1693059453
22528,-0.9934498071670532,1.1168122291564941,0.0002473118365742266,0.019631408154964447,-0.01935042068362236,3.1968140602111816,0.012157117947936058,0.00230978662148118,0.021484375,-0.06665503978729248,1093.0,Sudoku-v0__SingleActionTest__1__1693059453
23552,-0.9977827072143555,1.1330376863479614,0.00024718380882404745,0.007161871995776892,-0.027353443205356598,3.1792542934417725,0.00480401236563921,0.004924797918647528,0.09130859375,-0.22787463665008545,1094.0,Sudoku-v0__SingleActionTest__1__1693059453
24576,-1.0,1.1288546323776245,0.00024705581017769873,0.0007773975376039743,-0.06401588022708893,3.191098690032959,-0.010951980948448181,0.009023679420351982,0.187255859375,-80.4961166381836,1094.0,Sudoku-v0__SingleActionTest__1__1693059453
