,avg_episodic_return,avg_episodic_length,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,run
1024,-0.79296875,1.0,0.0002500000118743628,0.46426308155059814,-0.012567998841404915,2.194474220275879,0.0017821993678808212,0.0027565148193389177,0.079833984375,-0.6796431541442871,481.0,Sudoku-v0__SplitMLP__1__1693051553
2048,-0.779296875,1.0,0.00024987198412418365,0.2988990247249603,-0.006670214235782623,2.1945741176605225,-0.00030216388404369354,0.001653394429013133,0.015869140625,-0.3341202735900879,497.0,Sudoku-v0__SplitMLP__1__1693051553
3072,-0.791015625,1.0,0.00024974398547783494,0.27428138256073,-0.014563487842679024,2.193525791168213,-0.0018756724894046783,0.0024710989091545343,0.01318359375,-0.29558753967285156,518.0,Sudoku-v0__SplitMLP__1__1693051553
4096,-0.783203125,1.0,0.0002496159868314862,0.22131815552711487,-0.011028695851564407,2.1895387172698975,0.004767554346472025,0.0029507409781217575,0.07763671875,-0.23627793788909912,536.0,Sudoku-v0__SplitMLP__1__1693051553
5120,-0.787109375,1.0,0.00024948795908130705,0.22502167522907257,-0.01018143817782402,2.1863598823547363,-0.0020179245620965958,0.0015666396357119083,0.01318359375,-0.21577417850494385,556.0,Sudoku-v0__SplitMLP__1__1693051553
6144,-0.783203125,1.0,0.00024935996043495834,0.21247465908527374,-0.01540509145706892,2.182427406311035,0.002843958791345358,0.001469834242016077,0.0703125,-0.14876484870910645,575.0,Sudoku-v0__SplitMLP__1__1693051553
7168,-0.767578125,1.0,0.0002492319617886096,0.24637368321418762,-0.014929698780179024,2.178452491760254,0.0048767137341201305,0.0032164123840630054,0.111328125,-0.07575273513793945,587.0,Sudoku-v0__SplitMLP__1__1693051553
8192,-0.763671875,1.0,0.00024910393403843045,0.16205419600009918,-0.013244081288576126,2.1804351806640625,0.006581165362149477,0.0016559339128434658,0.04931640625,-0.09460532665252686,585.0,Sudoku-v0__SplitMLP__1__1693051553
9216,-0.794921875,1.0,0.00024897593539208174,0.1525591015815735,-0.014267136342823505,2.182718276977539,0.0009827585890889168,0.0034765107557177544,0.06396484375,-0.07185828685760498,590.0,Sudoku-v0__SplitMLP__1__1693051553
10240,-0.775390625,1.0,0.000248847936745733,0.19441059231758118,-0.019386515021324158,2.1843085289001465,0.0030399691313505173,0.0023106897715479136,0.055908203125,-0.047522544860839844,580.0,Sudoku-v0__SplitMLP__1__1693051553
11264,-0.78125,1.0,0.00024871990899555385,0.19957788288593292,-0.018694018945097923,2.180075168609619,0.006735560484230518,0.0016771890223026276,0.103515625,-0.045172691345214844,576.0,Sudoku-v0__SplitMLP__1__1693051553
12288,-0.7734375,1.0,0.00024859191034920514,0.2164495885372162,-0.013895997777581215,2.1829094886779785,3.508245572447777e-05,0.0024692814331501722,0.109619140625,-0.04063737392425537,577.0,Sudoku-v0__SplitMLP__1__1693051553
13312,-0.8046875,1.0,0.0002484639117028564,0.20590488612651825,-0.021707773208618164,2.1794371604919434,0.002211221493780613,0.0021834501530975103,0.083984375,-0.07033908367156982,586.0,Sudoku-v0__SplitMLP__1__1693051553
14336,-0.755859375,1.0,0.00024833588395267725,0.22482359409332275,-0.01381860114634037,2.178683280944824,0.0057646664790809155,0.0030411132611334324,0.1279296875,-0.045474886894226074,593.0,Sudoku-v0__SplitMLP__1__1693051553
15360,-0.7734375,1.0,0.00024820788530632854,0.23035548627376556,-0.01475108228623867,2.179960250854492,0.0025025526992976665,0.0017077724914997816,0.014404296875,-0.058629751205444336,589.0,Sudoku-v0__SplitMLP__1__1693051553
16384,-0.783203125,1.0,0.0002480798866599798,0.2246243804693222,-0.017657125368714333,2.1799674034118652,-0.003965551033616066,0.0020754639990627766,0.0361328125,-0.01836872100830078,580.0,Sudoku-v0__SplitMLP__1__1693051553
17408,-0.755859375,1.0,0.00024795185890980065,0.20725294947624207,-0.017296532168984413,2.1705243587493896,-0.0006204834207892418,0.00325354584492743,0.070068359375,-0.06047391891479492,574.0,Sudoku-v0__SplitMLP__1__1693051553
18432,-0.810546875,1.0,0.00024782386026345193,0.16715417802333832,-0.01729920133948326,2.167473316192627,0.0007693199440836906,0.0015796825755387545,0.02099609375,-0.03618288040161133,572.0,Sudoku-v0__SplitMLP__1__1693051553
19456,-0.8203125,1.0,0.0002476958616171032,0.17860743403434753,-0.01843000389635563,2.174769401550293,0.002667255699634552,0.002108453307300806,0.077880859375,-0.037508487701416016,566.0,Sudoku-v0__SplitMLP__1__1693051553
20480,-0.779296875,1.0,0.00024756783386692405,0.18219634890556335,-0.021329976618289948,2.1694209575653076,0.0036520040594041348,0.0013642092235386372,0.063720703125,-0.02923870086669922,562.0,Sudoku-v0__SplitMLP__1__1693051553
21504,-0.78125,1.0,0.00024743983522057533,0.207031711935997,-0.019371651113033295,2.169660806655884,0.0051793744787573814,0.0023547187447547913,0.056396484375,-0.029474854469299316,558.0,Sudoku-v0__SplitMLP__1__1693051553
22528,-0.779296875,1.0,0.0002473118365742266,0.1803406924009323,-0.013580553233623505,2.172332763671875,-0.0030459039844572544,0.002335552591830492,0.056396484375,-0.03163015842437744,553.0,Sudoku-v0__SplitMLP__1__1693051553
23552,-0.794921875,1.0,0.00024718380882404745,0.15705807507038116,-0.016360806301236153,2.1614887714385986,0.0007535251788794994,0.0021832070779055357,0.08837890625,-0.03366124629974365,548.0,Sudoku-v0__SplitMLP__1__1693051553
24576,-0.80078125,1.0,0.00024705581017769873,0.14531271159648895,-0.012245986610651016,2.159897565841675,0.00011749565601348877,0.0027652557473629713,0.085693359375,-0.0327681303024292,545.0,Sudoku-v0__SplitMLP__1__1693051553
25600,-0.7734375,1.0,0.00024692781153135,0.19739529490470886,-0.015901273116469383,2.1573777198791504,0.004105963744223118,0.001249463064596057,0.013671875,-0.02055191993713379,542.0,Sudoku-v0__SplitMLP__1__1693051553
26624,-0.759765625,1.0,0.00024679978378117085,0.24890397489070892,-0.018640268594026566,2.1530470848083496,0.003471044823527336,0.0019038331229239702,0.02685546875,-0.043671369552612305,539.0,Sudoku-v0__SplitMLP__1__1693051553
27648,-0.77734375,1.0,0.00024667178513482213,0.13903756439685822,-0.012321967631578445,2.159921884536743,0.005135159939527512,0.0014715278521180153,0.048583984375,-0.04002213478088379,537.0,Sudoku-v0__SplitMLP__1__1693051553
28672,-0.8046875,1.0,0.0002465437864884734,0.17825190722942352,-0.021042121574282646,2.1632161140441895,-0.003280340228229761,0.0022741667926311493,0.049072265625,-0.024843454360961914,534.0,Sudoku-v0__SplitMLP__1__1693051553
29696,-0.818359375,1.0,0.00024641575873829424,0.1965198665857315,-0.014661889523267746,2.1590898036956787,-0.0010657175444066525,0.0034382876474410295,0.075439453125,-0.02549910545349121,532.0,Sudoku-v0__SplitMLP__1__1693051553
30720,-0.802734375,1.0,0.00024628776009194553,0.17970135807991028,-0.022543609142303467,2.154200315475464,0.0009213238954544067,0.002966254949569702,0.095947265625,-0.017416715621948242,534.0,Sudoku-v0__SplitMLP__1__1693051553
31744,-0.7421875,1.0,0.0002461597614455968,0.18653571605682373,-0.018116535618901253,2.1537342071533203,0.003142264671623707,0.0021633508149534464,0.032470703125,-0.0324934720993042,534.0,Sudoku-v0__SplitMLP__1__1693051553
32768,-0.8046875,1.0,0.00024603173369541764,0.18926677107810974,-0.02480592578649521,2.1509439945220947,0.005957802291959524,0.0023600494023412466,0.075439453125,-0.02822256088256836,535.0,Sudoku-v0__SplitMLP__1__1693051553
33792,-0.794921875,1.0,0.00024590373504906893,0.1941935420036316,-0.01806606911122799,2.1569485664367676,0.007765233516693115,0.0026499019004404545,0.0556640625,-0.033301711082458496,533.0,Sudoku-v0__SplitMLP__1__1693051553
34816,-0.765625,1.0,0.0002457757364027202,0.23858939111232758,-0.012996044009923935,2.1527199745178223,0.006165344268083572,0.002939851488918066,0.06103515625,-0.02318596839904785,533.0,Sudoku-v0__SplitMLP__1__1693051553
35840,-0.73046875,1.0,0.00024564770865254104,0.2425127625465393,-0.017218463122844696,2.1537222862243652,-0.0008754213340580463,0.0035730318631976843,0.142333984375,-0.02519512176513672,535.0,Sudoku-v0__SplitMLP__1__1693051553
36864,-0.78515625,1.0,0.0002455197100061923,0.2073395550251007,-0.02243749052286148,2.147757053375244,-0.005771990399807692,0.0026495906058698893,0.0576171875,-0.020143508911132812,534.0,Sudoku-v0__SplitMLP__1__1693051553
37888,-0.744140625,1.0,0.0002453917113598436,0.2225021868944168,-0.021932760253548622,2.1455729007720947,-0.002992337103933096,0.0022615636698901653,0.155029296875,-0.01661241054534912,533.0,Sudoku-v0__SplitMLP__1__1693051553
38912,-0.74609375,1.0,0.00024526368360966444,0.20248201489448547,-0.013958136551082134,2.14951753616333,0.0031514065340161324,0.001778723904863,0.028076171875,-0.017258763313293457,536.0,Sudoku-v0__SplitMLP__1__1693051553
39936,-0.802734375,1.0,0.0002451356849633157,0.15952634811401367,-0.01367824338376522,2.1476402282714844,-0.0021409601904451847,0.0015866183675825596,0.015380859375,-0.018529176712036133,540.0,Sudoku-v0__SplitMLP__1__1693051553
40960,-0.78515625,1.0,0.000245007686316967,0.17742714285850525,-0.020812010392546654,2.1496634483337402,0.0014370470307767391,0.0026679460424929857,0.105712890625,-0.014861583709716797,543.0,Sudoku-v0__SplitMLP__1__1693051553
41984,-0.775390625,1.0,0.00024487965856678784,0.21169862151145935,-0.023843245580792427,2.1434168815612793,-0.002335591707378626,0.0018353918567299843,0.044677734375,-0.01106250286102295,542.0,Sudoku-v0__SplitMLP__1__1693051553
43008,-0.763671875,1.0,0.0002447516599204391,0.2359093874692917,-0.018583234399557114,2.141798496246338,-0.002129074651747942,0.0024118530564010143,0.126708984375,-0.04535412788391113,541.0,Sudoku-v0__SplitMLP__1__1693051553
44032,-0.771484375,1.0,0.0002446236612740904,0.18851831555366516,-0.018062323331832886,2.145441770553589,0.006484878249466419,0.001252475194633007,0.033447265625,-0.023899078369140625,540.0,Sudoku-v0__SplitMLP__1__1693051553
45056,-0.8046875,1.0,0.00024449563352391124,0.14843475818634033,-0.019709894433617592,2.145993947982788,-0.0016843480989336967,0.002287933137267828,0.1494140625,0.008902192115783691,542.0,Sudoku-v0__SplitMLP__1__1693051553
46080,-0.779296875,1.0,0.0002443676348775625,0.1744392216205597,-0.019366314634680748,2.1527810096740723,0.0029598423279821873,0.00220071361400187,0.11279296875,-0.027858972549438477,541.0,Sudoku-v0__SplitMLP__1__1693051553
47104,-0.751953125,1.0,0.0002442396362312138,0.20178383588790894,-0.021585676819086075,2.143841028213501,0.005666520446538925,0.0034233133774250746,0.10400390625,0.002890348434448242,540.0,Sudoku-v0__SplitMLP__1__1693051553
48128,-0.7734375,1.0,0.00024411162303294986,0.16706664860248566,-0.016029687598347664,2.1379079818725586,0.00559224421158433,0.0019241466652601957,0.081298828125,-0.012750625610351562,539.0,Sudoku-v0__SplitMLP__1__1693051553
49152,-0.783203125,1.0,0.00024398360983468592,0.18602299690246582,-0.01718885637819767,2.135899782180786,0.00612811790779233,0.002241299021989107,0.135986328125,-0.02710103988647461,540.0,Sudoku-v0__SplitMLP__1__1693051553
50176,-0.80078125,1.0,0.0002438556111883372,0.20116764307022095,-0.016854748129844666,2.130582809448242,-0.0006574196740984917,0.0018908672500401735,0.11328125,-0.011114835739135742,540.0,Sudoku-v0__SplitMLP__1__1693051553
51200,-0.783203125,1.0,0.00024372759799007326,0.17220816016197205,-0.01322910189628601,2.131544589996338,0.002954751718789339,0.001032376429066062,0.0439453125,-0.012698173522949219,541.0,Sudoku-v0__SplitMLP__1__1693051553
52224,-0.763671875,1.0,0.00024359958479180932,0.24082565307617188,-0.020189296454191208,2.1206469535827637,-0.0022114035673439503,0.0018063015304505825,0.068115234375,-0.011231541633605957,543.0,Sudoku-v0__SplitMLP__1__1693051553
53248,-0.765625,1.0,0.0002434715861454606,0.2631564736366272,-0.020896153524518013,2.1116783618927,-0.004372165072709322,0.002658758545294404,0.13134765625,-0.011599540710449219,545.0,Sudoku-v0__SplitMLP__1__1693051553
54272,-0.736328125,1.0,0.00024334357294719666,0.28249120712280273,-0.019096795469522476,2.1085097789764404,0.002237718552350998,0.0018391208723187447,0.086669921875,-0.015901923179626465,546.0,Sudoku-v0__SplitMLP__1__1693051553
55296,-0.76953125,1.0,0.00024321555974893272,0.1805577278137207,-0.02065172977745533,2.1024560928344727,-0.00018147146329283714,0.0012757554650306702,0.101806640625,-0.020191550254821777,545.0,Sudoku-v0__SplitMLP__1__1693051553
56320,-0.794921875,1.0,0.000243087561102584,0.21075400710105896,-0.021739555522799492,2.099667549133301,-0.0013321018777787685,0.001931284787133336,0.0341796875,-0.02166271209716797,546.0,Sudoku-v0__SplitMLP__1__1693051553
57344,-0.724609375,1.0,0.00024295954790432006,0.24438780546188354,-0.02299525961279869,2.0980422496795654,0.007312990725040436,0.0023919101804494858,0.108154296875,-0.0017908811569213867,546.0,Sudoku-v0__SplitMLP__1__1693051553
58368,-0.76953125,1.0,0.00024283153470605612,0.18507152795791626,-0.018836993724107742,2.0973222255706787,0.004030401818454266,0.002433804562315345,0.0458984375,-0.01697218418121338,547.0,Sudoku-v0__SplitMLP__1__1693051553
59392,-0.771484375,1.0,0.0002427035360597074,0.17147362232208252,-0.020456179976463318,2.088294506072998,0.012680605053901672,0.003350205719470978,0.124755859375,-0.007548928260803223,546.0,Sudoku-v0__SplitMLP__1__1693051553
60416,-0.748046875,1.0,0.00024257552286144346,0.18495763838291168,-0.02023441717028618,2.089339256286621,0.005443974398076534,0.0019467894453555346,0.046875,-0.010175585746765137,546.0,Sudoku-v0__SplitMLP__1__1693051553
61440,-0.75,1.0,0.00024244750966317952,0.1798854023218155,-0.016854101791977882,2.072838544845581,0.006459357682615519,0.001967173535376787,0.13427734375,-0.018841028213500977,545.0,Sudoku-v0__SplitMLP__1__1693051553
62464,-0.77734375,1.0,0.0002423195110168308,0.2013721466064453,-0.016415169462561607,2.0788285732269287,-0.003923636395484209,0.002527053700760007,0.066162109375,-0.02199709415435791,545.0,Sudoku-v0__SplitMLP__1__1693051553
63488,-0.791015625,1.0,0.00024219149781856686,0.17424491047859192,-0.017914842814207077,2.0823168754577637,0.0015542092733085155,0.001516547054052353,0.0537109375,-0.018847227096557617,544.0,Sudoku-v0__SplitMLP__1__1693051553
64512,-0.779296875,1.0,0.00024206349917221814,0.1915374994277954,-0.020981037989258766,2.0760653018951416,0.012095041573047638,0.002765301614999771,0.17333984375,-0.005418181419372559,544.0,Sudoku-v0__SplitMLP__1__1693051553
65536,-0.791015625,1.0,0.0002419354859739542,0.25524717569351196,-0.026313262060284615,2.0789408683776855,-0.0005429349839687347,0.002782144583761692,0.108154296875,-0.015617132186889648,544.0,Sudoku-v0__SplitMLP__1__1693051553
66560,-0.796875,1.0,0.00024180747277569026,0.21402788162231445,-0.023507898673415184,2.0790181159973145,0.000388104934245348,0.00161842443048954,0.094970703125,-0.016650915145874023,542.0,Sudoku-v0__SplitMLP__1__1693051553
67584,-0.771484375,1.0,0.00024167947412934154,0.17241568863391876,-0.01825125329196453,2.0742878913879395,0.004890498239547014,0.00196513207629323,0.13134765625,-0.03609180450439453,541.0,Sudoku-v0__SplitMLP__1__1693051553
68608,-0.7734375,1.0,0.0002415514609310776,0.18239262700080872,-0.019223932176828384,2.0792601108551025,0.004413450602442026,0.002254210878163576,0.066650390625,-0.009042978286743164,541.0,Sudoku-v0__SplitMLP__1__1693051553
69632,-0.798828125,1.0,0.00024142344773281366,0.2160661220550537,-0.025386588647961617,2.0754599571228027,0.0021048267371952534,0.0032430237624794245,0.093017578125,-0.009464621543884277,540.0,Sudoku-v0__SplitMLP__1__1693051553
