,avg_episodic_return,avg_episodic_length,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,run
1024,-0.9959183931350708,1.0448979139328003,0.0002500000118743628,0.41190236806869507,-0.0035364627838134766,4.098353862762451,-0.0014737602323293686,0.0008826269768178463,0.002197265625,-0.7260289192199707,571.0,Sudoku-v0__first_try__1__1693049828
2048,-1.0,1.0534979104995728,0.00024987198412418365,0.008652760647237301,-0.008252331987023354,4.101811408996582,0.0002686670050024986,0.0007724049501121044,0.001220703125,-4218.53955078125,707.0,Sudoku-v0__first_try__1__1693049828
3072,-1.0,1.050256371498108,0.00024974398547783494,0.0031723929569125175,-0.00903099775314331,4.1324687004089355,0.00391087681055069,0.0006291065365076065,0.0009765625,-2306.15478515625,758.0,Sudoku-v0__first_try__1__1693049828
4096,-0.9959016442298889,1.049180269241333,0.0002496159868314862,0.014018381014466286,-0.007764351554214954,4.072298049926758,0.005932784639298916,0.0011378508061170578,0.004150390625,-0.28114569187164307,780.0,Sudoku-v0__first_try__1__1693049828
5120,-1.0,1.043832778930664,0.00024948795908130705,0.0019090591231361032,-0.007328758016228676,4.1241559982299805,0.0012849336490035057,0.0015944091137498617,0.008544921875,-1943.213134765625,785.0,Sudoku-v0__first_try__1__1693049828
6144,-1.0,1.047034740447998,0.00024935996043495834,0.0020033372566103935,-0.007881946861743927,4.136773109436035,0.001795060932636261,0.0026446727570146322,0.04833984375,-1023.05126953125,783.0,Sudoku-v0__first_try__1__1693049828
7168,-0.9979296326637268,1.0600414276123047,0.0002492319617886096,0.00802217610180378,-0.011346179991960526,4.0778913497924805,0.005538308061659336,0.0024465296883136034,0.0390625,-0.4393913745880127,780.0,Sudoku-v0__first_try__1__1693049828
8192,-0.9979591965675354,1.0448979139328003,0.00024910393403843045,0.022011324763298035,-0.01231689378619194,4.128291606903076,0.008028452284634113,0.0020501716062426567,0.021240234375,-0.5025985240936279,774.0,Sudoku-v0__first_try__1__1693049828
9216,-0.9979166388511658,1.0666667222976685,0.00024897593539208174,0.001557869603857398,-0.009072896093130112,4.0667724609375,0.0015643341466784477,0.001354206819087267,0.010009765625,-0.35676753520965576,775.0,Sudoku-v0__first_try__1__1693049828
10240,-1.0,1.0711296796798706,0.000248847936745733,0.0016199022065848112,-0.01465499959886074,4.125932693481445,0.0016866764053702354,0.0013274354860186577,0.00634765625,-526.0636596679688,780.0,Sudoku-v0__first_try__1__1693049828
11264,-1.0,1.0557276010513306,0.00024871990899555385,0.0020420262590050697,-0.011384807527065277,4.0993876457214355,0.0025853561237454414,0.0017308846581727266,0.059326171875,-586.7284545898438,788.0,Sudoku-v0__first_try__1__1693049828
12288,-1.0,1.0577915906906128,0.00024859191034920514,0.0021964311599731445,-0.013646958395838737,4.09926700592041,-0.0010697944089770317,0.001294426154345274,0.012451171875,-368.2768249511719,792.0,Sudoku-v0__first_try__1__1693049828
13312,-1.0,1.0448979139328003,0.0002484639117028564,0.0015762913972139359,-0.021101731806993484,4.0897536277771,0.0012006498873233795,0.0023834542371332645,0.05615234375,-1057.4635009765625,792.0,Sudoku-v0__first_try__1__1693049828
14336,-1.0,1.049180269241333,0.00024833588395267725,0.0026878956705331802,-0.010913707315921783,4.105337142944336,0.0027295881882309914,0.0022144843824207783,0.04736328125,-888.9467163085938,794.0,Sudoku-v0__first_try__1__1693049828
15360,-1.0,1.0492308139801025,0.00024820788530632854,0.002585766837000847,-0.014018535614013672,4.126522541046143,-0.004525533877313137,0.0026245038025081158,0.048828125,-648.0281372070312,798.0,Sudoku-v0__first_try__1__1693049828
16384,-0.9979487061500549,1.0492308139801025,0.0002480798866599798,0.008919556625187397,-0.006875168532133102,4.0887908935546875,0.00028706900775432587,0.002041819039732218,0.02001953125,-0.4456191062927246,801.0,Sudoku-v0__first_try__1__1693049828
17408,-0.9979507923126221,1.050204873085022,0.00024795185890980065,0.016312837600708008,-0.011796483770012856,4.091775894165039,0.010304328054189682,0.001970587531104684,0.045166015625,-0.4407542943954468,804.0,Sudoku-v0__first_try__1__1693049828
18432,-1.0,1.0534979104995728,0.00024782386026345193,0.0018951958045363426,-0.01551339216530323,4.062543869018555,0.008321345783770084,0.0033853056374937296,0.04833984375,-355.9027099609375,804.0,Sudoku-v0__first_try__1__1693049828
19456,-1.0,1.0568181276321411,0.0002476958616171032,0.0015364746795967221,-0.02006271481513977,4.062354564666748,-0.001128198578953743,0.002396558877080679,0.05810546875,-151.67591857910156,805.0,Sudoku-v0__first_try__1__1693049828
20480,-0.9979231357574463,1.0643821954727173,0.00024756783386692405,0.01097360160201788,-0.014391181990504265,4.0734758377075195,-0.00316573865711689,0.003090560669079423,0.06396484375,-0.1279430389404297,807.0,Sudoku-v0__first_try__1__1693049828
21504,-0.9979296326637268,1.0600414276123047,0.00024743983522057533,0.008964837528765202,-0.007541744038462639,4.056163787841797,0.0006841253489255905,0.0022736701648682356,0.06884765625,-0.39385247230529785,808.0,Sudoku-v0__first_try__1__1693049828
22528,-0.997931718826294,1.0589451789855957,0.0002473118365742266,0.00777124147862196,-0.01677156798541546,4.073639869689941,0.006662026047706604,0.0023326536174863577,0.09765625,-0.3955655097961426,807.0,Sudoku-v0__first_try__1__1693049828
23552,-0.9979423880577087,1.0545268058776855,0.00024718380882404745,0.014979658648371696,-0.011819235980510712,4.029691696166992,0.00716311763972044,0.0028089559637010098,0.04638671875,-0.31140828132629395,810.0,Sudoku-v0__first_try__1__1693049828
24576,-1.0,1.0534979104995728,0.00024705581017769873,0.002272894373163581,-0.018952632322907448,4.087902069091797,0.0057511404156684875,0.002651606220752001,0.076904296875,-293.6693115234375,814.0,Sudoku-v0__first_try__1__1693049828
25600,-1.0,1.047034740447998,0.00024692781153135,0.0018061012960970402,-0.02425825595855713,4.08004093170166,-0.0021032895892858505,0.00288741709664464,0.09765625,-1093.88427734375,815.0,Sudoku-v0__first_try__1__1693049828
26624,-1.0,1.049180269241333,0.00024679978378117085,0.0017207228811457753,-0.016742561012506485,4.083521842956543,0.0031534619629383087,0.003184103174135089,0.083251953125,-611.6280517578125,815.0,Sudoku-v0__first_try__1__1693049828
27648,-1.0,1.054639220237732,0.00024667178513482213,0.0014425574336200953,-0.019989866763353348,4.048834800720215,-0.0015843966975808144,0.0037526951637119055,0.098876953125,-285.53131103515625,814.0,Sudoku-v0__first_try__1__1693049828
28672,-1.0,1.054582953453064,0.0002465437864884734,0.0015947562642395496,-0.01854105293750763,4.035208702087402,0.00239523034542799,0.0032059347722679377,0.07470703125,-393.6125793457031,812.0,Sudoku-v0__first_try__1__1693049828
29696,-0.9979423880577087,1.0545268058776855,0.00024641575873829424,0.0022180997766554356,-0.015451519750058651,4.033230781555176,0.0031600752845406532,0.002503091935068369,0.08740234375,-0.25013673305511475,813.0,Sudoku-v0__first_try__1__1693049828
30720,-1.0,1.049180269241333,0.00024628776009194553,0.003335488960146904,-0.02383309230208397,4.046000003814697,0.009854888543486595,0.0032028197310864925,0.069091796875,-394.26788330078125,814.0,Sudoku-v0__first_try__1__1693049828
31744,-1.0,1.050256371498108,0.0002461597614455968,0.004358767066150904,-0.02405327372252941,4.076604843139648,0.007766298018395901,0.0031267600134015083,0.1396484375,-1003.0267944335938,813.0,Sudoku-v0__first_try__1__1693049828
32768,-1.0,1.062240719795227,0.00024603173369541764,0.0018783373525366187,-0.02934546023607254,4.066592216491699,0.003998273052275181,0.003913084045052528,0.135498046875,-266.0022888183594,814.0,Sudoku-v0__first_try__1__1693049828
33792,-1.0,1.0567595958709717,0.00024590373504906893,0.0028023715130984783,-0.021702587604522705,4.034916400909424,0.003827463835477829,0.0024964481126517057,0.069580078125,-713.5894775390625,815.0,Sudoku-v0__first_try__1__1693049828
34816,-0.9979571104049683,1.045965313911438,0.0002457757364027202,0.008929995819926262,-0.010299092158675194,4.0356855392456055,2.6402994990348816e-05,0.003249166300520301,0.100341796875,-0.3202216625213623,816.0,Sudoku-v0__first_try__1__1693049828
35840,-1.0,1.050256371498108,0.00024564770865254104,0.002248608274385333,-0.026540739461779594,4.073168754577637,0.004473748616874218,0.0025123944506049156,0.105712890625,-812.4817504882812,816.0,Sudoku-v0__first_try__1__1693049828
