,avg_episodic_return,avg_episodic_length,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,run
1024,-0.791015625,1.0,0.0002500000118743628,0.41824281215667725,-0.0012421710416674614,2.197147846221924,-8.104369044303894e-06,7.879524491727352e-05,0.0,-0.045126914978027344,488.0,Sudoku-v0__only1__1__1693049832
2048,-0.76953125,1.0,0.00024987198412418365,0.3555208742618561,-0.0009883306920528412,2.1970090866088867,-0.0006889700889587402,4.321802407503128e-05,0.0,-0.031870126724243164,580.0,Sudoku-v0__only1__1__1693049832
3072,-0.787109375,1.0,0.00024974398547783494,0.27146339416503906,-0.0017146067693829536,2.196828842163086,0.000250459648668766,5.728378891944885e-05,0.0,-0.012311816215515137,638.0,Sudoku-v0__only1__1__1693049832
4096,-0.779296875,1.0,0.0002496159868314862,0.2042657434940338,-0.0016383752226829529,2.1963303089141846,-0.0007121823728084564,0.0002111585345119238,0.0,-0.0145341157913208,649.0,Sudoku-v0__only1__1__1693049832
5120,-0.791015625,1.0,0.00024948795908130705,0.20265278220176697,-0.0015332717448472977,2.195305347442627,0.0009608129039406776,0.00024796859361231327,0.0,-0.015770912170410156,671.0,Sudoku-v0__only1__1__1693049832
6144,-0.79296875,1.0,0.00024935996043495834,0.1939079761505127,-0.002268262207508087,2.193249225616455,9.449571371078491e-05,0.0005765298847109079,0.0,-0.021998882293701172,690.0,Sudoku-v0__only1__1__1693049832
7168,-0.76171875,1.0,0.0002492319617886096,0.2369355857372284,-0.0036594169214367867,2.1919827461242676,0.0006755883805453777,0.000457975547760725,0.0,-0.05118668079376221,708.0,Sudoku-v0__only1__1__1693049832
8192,-0.763671875,1.0,0.00024910393403843045,0.15420758724212646,-0.007694588974118233,2.1924428939819336,0.0030007604509592056,0.0004437544848769903,0.0,-0.017998814582824707,717.0,Sudoku-v0__only1__1__1693049832
9216,-0.791015625,1.0,0.00024897593539208174,0.13445638120174408,-0.0019277851097285748,2.1932711601257324,-0.0033028926700353622,0.0006738544907420874,0.0,-0.04095923900604248,723.0,Sudoku-v0__only1__1__1693049832
10240,-0.771484375,1.0,0.000248847936745733,0.18533438444137573,-0.001736525446176529,2.194147825241089,-0.00023823417723178864,0.00043724896386265755,0.0,-0.031597018241882324,731.0,Sudoku-v0__only1__1__1693049832
11264,-0.78515625,1.0,0.00024871990899555385,0.1913798451423645,-0.002792801707983017,2.193803071975708,0.002717559225857258,0.00017625559121370316,0.0,-0.02602529525756836,739.0,Sudoku-v0__only1__1__1693049832
12288,-0.763671875,1.0,0.00024859191034920514,0.19200590252876282,-0.002562800422310829,2.1932244300842285,0.00030190590769052505,0.00012950552627444267,0.0,-0.03147733211517334,747.0,Sudoku-v0__only1__1__1693049832
13312,-0.806640625,1.0,0.0002484639117028564,0.1944301426410675,-0.006153536960482597,2.1913278102874756,-0.0036142906174063683,0.0005791056901216507,0.0,-0.03244364261627197,750.0,Sudoku-v0__only1__1__1693049832
