,avg_episodic_return,avg_episodic_length,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,run
1024,-0.044387754052877426,1.0448979139328003,0.0002500000118743628,17.96874237060547,-0.008233282715082169,4.100353240966797,0.004462515003979206,0.000563805690035224,0.00439453125,-0.0025565624237060547,715.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
2048,-0.3095482587814331,1.0513347387313843,0.0002499744005035609,0.32342529296875,-0.029719199985265732,4.118155479431152,0.0010958816856145859,0.0010470738634467125,0.005615234375,-0.10850858688354492,804.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
3072,-0.33829569816589355,1.0503079891204834,0.000249948789132759,0.3317217528820038,-0.027882713824510574,4.121428489685059,0.0021412745118141174,0.0017352071590721607,0.016845703125,-0.08034706115722656,824.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
4096,-0.26950719952583313,1.0513347387313843,0.0002499232068657875,0.31844526529312134,-0.02781910076737404,4.050647735595703,0.0047864364460110664,0.002043415093794465,0.022705078125,-0.08841371536254883,819.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
5120,-0.28105905652046204,1.043788194656372,0.0002498975954949856,0.3136903643608093,-0.030538160353899002,4.138582229614258,0.0001329910010099411,0.0025802049785852432,0.032958984375,-0.07702243328094482,812.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
6144,-0.313394695520401,1.047034740447998,0.00024987198412418365,0.3188721537590027,-0.03345637023448944,4.114170074462891,0.0037834132090210915,0.002013539429754019,0.029541015625,-0.04818689823150635,819.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
7168,-0.33213183283805847,1.054582953453064,0.0002498464018572122,0.30898451805114746,-0.035717859864234924,4.105164527893066,0.0011998564004898071,0.0017805839888751507,0.014892578125,-0.047855257987976074,830.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
8192,-0.3323139548301697,1.0407747030258179,0.00024982079048641026,0.2893880307674408,-0.03944279998540878,4.0879926681518555,-0.0011459849774837494,0.0020638832356780767,0.021240234375,-0.034615159034729004,827.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
9216,-0.22210849821567535,1.0511770248413086,0.00024979517911560833,33.794921875,-0.011619959026575089,4.1159257888793945,0.006464232690632343,0.0018997984007000923,0.015380859375,0.005507111549377441,822.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
10240,-0.3395749032497406,1.0364372730255127,0.00024976959684863687,0.30303072929382324,-0.03651806712150574,4.1278395652771,0.0029610227793455124,0.002744740340858698,0.0595703125,-0.013966798782348633,822.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
11264,-0.33418890833854675,1.0513347387313843,0.00024974398547783494,0.2864757180213928,-0.04066731780767441,4.103277683258057,0.006215524859726429,0.002628740854561329,0.04638671875,-0.01820659637451172,823.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
12288,-0.3048155605792999,1.0481557846069336,0.000249718374107033,0.28801214694976807,-0.04121910035610199,4.11094331741333,0.0046541690826416016,0.0028635438065975904,0.046142578125,-0.030437946319580078,830.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
13312,-0.2118997871875763,1.068893551826477,0.00024969279184006155,0.3573797941207886,-0.031466223299503326,4.103382110595703,0.0016029104590415955,0.0021797851659357548,0.0234375,0.0014150738716125488,837.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
14336,-0.33264464139938354,1.0568181276321411,0.0002496671804692596,0.33220744132995605,-0.044006943702697754,4.111234664916992,-1.3933517038822174e-05,0.0032037224154919386,0.04833984375,-0.03859913349151611,842.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
15360,-0.2988741099834442,1.0501534938812256,0.0002496415690984577,0.2950085401535034,-0.0445391982793808,4.035996437072754,0.003903334029018879,0.002875343430787325,0.04541015625,-0.03236579895019531,845.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
16384,-0.32421478629112244,1.0374873876571655,0.0002496159868314862,0.2814636826515198,-0.04826507717370987,4.1154351234436035,0.0026520248502492905,0.0037319629918783903,0.06884765625,-0.010037660598754883,849.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
17408,-0.3153292238712311,1.0534979104995728,0.0002495903754606843,0.3334721028804779,-0.04459144175052643,4.055450916290283,0.000483059324324131,0.0026122957933694124,0.030029296875,-0.012578129768371582,852.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
18432,-0.19343066215515137,1.0677789449691772,0.0002495647640898824,0.3314002752304077,-0.0264710932970047,4.028521537780762,0.00688541866838932,0.00162495207041502,0.021484375,0.002776205539703369,854.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
19456,-0.3189743459224701,1.050256371498108,0.0002495391818229109,0.2954748272895813,-0.04695376753807068,4.099608421325684,0.0061491383239626884,0.0026953662745654583,0.04638671875,-0.0398862361907959,856.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
20480,-0.31269192695617676,1.0470829010009766,0.000249513570452109,0.3251972794532776,-0.04606425762176514,4.091043472290039,0.004110139794647694,0.003314404282718897,0.07373046875,-0.03338980674743652,858.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
21504,-0.2055150866508484,1.06659734249115,0.00024948795908130705,0.3208894431591034,-0.026263128966093063,4.10166597366333,0.01398967020213604,0.0021315645426511765,0.02392578125,0.0030281543731689453,858.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
22528,-0.3219735622406006,1.041709065437317,0.0002494623768143356,0.2794453501701355,-0.05100163072347641,4.090970039367676,0.004996010102331638,0.0030417577363550663,0.06640625,-0.030182480812072754,854.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
23552,-0.3701431453227997,1.047034740447998,0.00024943676544353366,0.29049378633499146,-0.04873761534690857,4.073046684265137,-0.004205402918159962,0.003066825680434704,0.07666015625,-0.04108834266662598,854.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
24576,-0.31282317638397217,1.0589451789855957,0.00024941115407273173,0.30609580874443054,-0.045896634459495544,4.06964111328125,-0.0006783409044146538,0.003596775233745575,0.08837890625,-0.019356727600097656,853.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
25600,-0.22824974358081818,1.0481064319610596,0.00024938557180576026,16.38216781616211,-0.010186173021793365,4.068096160888672,0.00288503710180521,0.0013254317454993725,0.00830078125,-0.004664778709411621,855.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
26624,-0.3402489721775055,1.062240719795227,0.00024935996043495834,0.3259231448173523,-0.04843378812074661,4.057433605194092,0.005103753879666328,0.0037076768931001425,0.11279296875,-0.021336674690246582,855.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
27648,-0.2946058213710785,1.0612033605575562,0.0002493343490641564,0.3228232264518738,-0.05043984204530716,4.023932456970215,0.009548970498144627,0.003698711981996894,0.09619140625,-0.012859225273132324,858.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
28672,-0.2133956402540207,1.0633437633514404,0.00024930876679718494,0.3117867410182953,-0.02778083086013794,4.04213809967041,0.004173094406723976,0.0016202148981392384,0.01953125,-0.0004595518112182617,859.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
29696,-0.3002091944217682,1.0721757411956787,0.000249283155426383,0.35532447695732117,-0.051897622644901276,3.990017890930176,-0.0041059814393520355,0.004222584888339043,0.080322265625,-0.013957858085632324,861.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
30720,-0.2626942992210388,1.0611399412155151,0.0002492575440555811,0.33434101939201355,-0.05861056596040726,4.035129547119141,0.002584676258265972,0.0039844270795583725,0.070068359375,-0.013479471206665039,861.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
31744,-0.3430173397064209,1.043832778930664,0.0002492319617886096,0.2962992191314697,-0.05192284658551216,4.074236869812012,-0.004619342274963856,0.00350613403134048,0.0849609375,-0.023929834365844727,863.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
32768,-0.33865979313850403,1.0536082983016968,0.0002492063504178077,0.30104249715805054,-0.05541710555553436,4.0355963706970215,0.0029475633054971695,0.0038719328586012125,0.0751953125,-0.019565582275390625,865.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
33792,-0.1989690661430359,1.0567010641098022,0.00024918073904700577,0.32625818252563477,-0.025621293112635612,3.9979376792907715,0.002987953834235668,0.001845870167016983,0.0341796875,-0.004313945770263672,867.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
34816,-0.3061855733394623,1.0567010641098022,0.0002491551567800343,0.30257198214530945,-0.0549638606607914,4.006743431091309,0.0001609809696674347,0.0034243843983858824,0.0947265625,-0.01332235336303711,868.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
35840,-0.26594650745391846,1.0534979104995728,0.0002491295454092324,0.2992742657661438,-0.054997675120830536,4.07139778137207,0.006937078200280666,0.003659328445792198,0.088623046875,-0.019875168800354004,869.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
36864,-0.32233503460884094,1.0395939350128174,0.00024910393403843045,0.29854846000671387,-0.061546191573143005,4.06805419921875,0.00827319361269474,0.004392948932945728,0.084716796875,-0.020699024200439453,870.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
37888,-0.22204968333244324,1.0600414276123047,0.000249078351771459,18.079544067382812,-0.010734327137470245,4.0181884765625,0.0055943746119737625,0.002750248648226261,0.051513671875,-0.002733588218688965,869.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
38912,-0.18134714663028717,1.0611399412155151,0.00024905274040065706,18.12209129333496,-0.009648110717535019,3.9863319396972656,0.0020878389477729797,0.0023257595021277666,0.029296875,-0.003786325454711914,869.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
39936,-0.31758129596710205,1.0406503677368164,0.00024902712902985513,0.2980096936225891,-0.06173974648118019,4.034809112548828,0.012448285706341267,0.004381041973829269,0.10302734375,-0.002886176109313965,866.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
40960,-0.2567010223865509,1.054639220237732,0.00024900154676288366,37.64981460571289,-0.013023197650909424,4.015043258666992,0.002837364561855793,0.004146328195929527,0.08447265625,0.0003026127815246582,864.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
41984,-0.32851240038871765,1.0578511953353882,0.00024897593539208174,0.2870720624923706,-0.057850431650877,3.9938931465148926,0.00231194868683815,0.003995805513113737,0.09814453125,-0.02842414379119873,861.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
43008,-0.19527235627174377,1.0534429550170898,0.0002489503240212798,0.32259291410446167,-0.033512771129608154,3.9974753856658936,0.0023770667612552643,0.003130584256723523,0.099609375,-0.00038254261016845703,860.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
44032,-0.2208462357521057,1.0557276010513306,0.00024892474175430834,18.040220260620117,-0.00983235239982605,3.9928765296936035,0.002238254062831402,0.0022990007419139147,0.0283203125,-0.0007854700088500977,857.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
45056,-0.32219937443733215,1.0534429550170898,0.0002488991303835064,0.3228597640991211,-0.06740880012512207,4.032240390777588,0.006468761712312698,0.005258640274405479,0.146728515625,-0.019691824913024902,858.0,Sudoku-x1__MultiActionOtherRewardsLonger__1__1693063717
