,avg_episodic_return,avg_episodic_length,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,run
1024,0.7310647368431091,1.1218441724777222,0.0002500000118743628,0.21784737706184387,-0.05356144160032272,3.2330689430236816,0.02625003457069397,0.0030876293312758207,0.042236328125,-0.013520359992980957,767.0,Sudoku-x1__SingleActionTestOnly1__1__1693060108
2048,0.8118970990180969,1.0986065864562988,0.00024987198412418365,17.63872718811035,-0.009119249880313873,3.2512829303741455,0.02306324429810047,0.0009321325924247503,0.002685546875,-0.0012099742889404297,873.0,Sudoku-x1__SingleActionTestOnly1__1__1693060108
3072,0.8395400047302246,1.121577262878418,0.00024974398547783494,17.5884952545166,-0.008612144738435745,3.2341976165771484,0.018622376024723053,0.0009134460706263781,0.005126953125,0.0024652481079101562,929.0,Sudoku-x1__SingleActionTestOnly1__1__1693060108
4096,0.7494444251060486,1.1388888359069824,0.0002496159868314862,15.933478355407715,-0.010603882372379303,3.2322800159454346,0.01792042702436447,0.0028074609581381083,0.03466796875,-0.0037478208541870117,956.0,Sudoku-x1__SingleActionTestOnly1__1__1693060108
5120,0.8406593203544617,1.1219780445098877,0.00024948795908130705,35.01288604736328,-0.012824177742004395,3.228003978729248,0.025159116834402084,0.0027535869739949703,0.04443359375,-0.0013036727905273438,972.0,Sudoku-x1__SingleActionTestOnly1__1__1693060108
6144,0.7308114171028137,1.1217105388641357,0.00024935996043495834,0.08759550750255585,-0.04068500176072121,3.2388644218444824,0.010259049013257027,0.0029258315917104483,0.042724609375,0.0028041601181030273,984.0,Sudoku-x1__SingleActionTestOnly1__1__1693060108
7168,0.7298035025596619,1.1211789846420288,0.0002492319617886096,33.373966217041016,-0.011318057775497437,3.245716094970703,0.011125448159873486,0.0023953141644597054,0.029052734375,-0.004552483558654785,991.0,Sudoku-x1__SingleActionTestOnly1__1__1693060108
8192,0.7430786490440369,1.1328903436660767,0.00024910393403843045,33.46923828125,-0.01212695986032486,3.2393760681152344,0.016761884093284607,0.003918895497918129,0.067626953125,-0.007935523986816406,998.0,Sudoku-x1__SingleActionTestOnly1__1__1693060108
9216,0.6240395307540894,1.1240395307540894,0.00024897593539208174,0.08778780698776245,-0.05165966600179672,3.2320876121520996,0.0337037593126297,0.008672501891851425,0.15380859375,-0.09167373180389404,998.0,Sudoku-x1__SingleActionTestOnly1__1__1693060108
10240,0.6226724982261658,1.1226725578308105,0.000248847936745733,0.055960167199373245,-0.052926912903785706,3.234614849090576,0.035438716411590576,0.007240842096507549,0.126708984375,-0.06885242462158203,998.0,Sudoku-x1__SingleActionTestOnly1__1__1693060108
